Item ,Class,Word,Desc,Level,Tran
152,Weather,Scorching,very hot ,none,Escaldante
153,Weather,Smog,"a mixture of smoke, gases, and chemicals, especially in cities, that makes the atmosphere difficult to breathe and harmful for health",C1,Fumaça (Neblina)
154,Weather,Sweltering,extremely and uncomfortably hot,none,Calor sufocante
155,Weather,Thaw,"to (cause to) change from a solid, frozen state to a liquid or soft one, because of an increase in temperature",none,degelar
156,Weather,Whirlwind,"a tall, spinning column of air that moves across the surface of the land or sea",none,Redemoinho
157,Health,Seizure,"a very sudden attack of an illness in which someone becomes unconscious or develops violent movements:
",none,Convulsão
158,Health,Sunbathing,the activity of sitting or lying in the sun to make your skin darker,none,Banho de Sol 
159,Travel,Self-catering,(of a holiday) having cooking facilities available do that you can cook meals for yourself rahter than having them provided for you,C1,Sem serviço incluído
160,Travel,Sightseeing,"the activity of visiting interesting places, especially by people on holiday",A2,Turismo
161,Work,Sack,"fire to remove someone from a job, usually because they have done something wrong or badly, or sometimes as a way of saving the cost of employing them",B2,Despedir
162,Work,Subpoena,to order someone to go to a law court to answer questions. ,none,Intimação
163,Work,Sweatshop,a small factory where workers are paid very little and work many hours in very bad conditions.,none,Trabalho em condiçoes precárias
164,Work,Tailor,"someone whose the job is to repair, make, and adjust (=make changes to) clothes, especially someone who makes jackets, trousers, coats, etc. for men",none,Alfaiate
165,General,Adamant,"impossible to persuade, or unwilling to change a opinion or decision.",none,Duro/Diamente
166,General,Backwater,a part of a river where the water does not flow,none,Água Represada
167,General,Bailiff,an official who is responsible for prisoners who are appearing in court,none,Oficial de Justiça
168,General,Ballot,a system or occasion of secret voting,none,Votação
169,General,Bearable," if you have a unpleasant situation , you can accept or deal with it ",none,Suportável
170,General,Bestow,to give something as an honour or present,formal,Conceder
171,General,Bloke,"a man, often one who is considered to be ordinary",informal,Cara
172,General,Bolster,to support or improve something or make it stronger,none,Reforçar
173,General,Burglar,a person who illegally enters buildings and steals things,B2,Ladrão
174,General,Burglary,Entry into a building illegally with intent to commit a crime especially theft,B2,Assalto
175,General,Burial,"the act of putting a dead body into the ground, or the ceremony connected with this.",C2,Enterro
176,General,Bustle,to do things in a hurried and busy way,none,Pressa
177,General,booze,"alcoholic drinks
",none,Bebida 
178,General,Cannon,"a large, powerful gun, usually attached to two or four wheels, that was used in the past to fire heavy stone or metal balls",none,Canhão
179,General,Canvas,"strong, rough cloth used for making tents, sails, bags, strong clothes, etc.",none,Tela de Pintura
180,General,Conundrum,A problem that is difficult to deal with,none,Enigma
181,General,Clatter,"to make continuous loud noises by hitting hard objects against each other, or to cause objects to do this",none,Barulho
182,General,Cleft sentence,a sentence that is divided into two clauses in order to show which information is new. ,none,Sentença composta
183,General,Clues,something that help you to solve a problem or answer a question,B2,Pista/Dica
184,General,Conceived,to imagine something,C2,Concebida
185,General,Covey," A small group of people, birds or things. ",none,Bando
186,General,Cue, a signal for someone to do something,none,Deixa/Sugestão
187,General,Dazzling,"extremely bright, especially so as to blind eyes temporarily ",C2,Ofuscante
188,General,Dean,an official of high rank in a college or university who is responsible for the organization of a department or departments,none,Reitor/Decano
189,General,Deem,to consider or judge something in a particular way,C2,Considerar
190,General,Depot,"a building where suppliers, or vehicles, especially buses are kept
",none,Armazém/Depósito
191,General,Detached,house is not connected to any other building,C1,Desanexada
192,General,Devise,"To invent a system, object, etc. usually using your intelligence or imagination",none,Criar
193,General,Duress,threats used to force a person to do something,Formal,Coação
194,General,Elusive,"difficult to describe, find, achieve, or remember.",C2,"Indefinível, difícil de conseguir"
195,General,Every other day,"one day yes, one day no, one day yes, one day no",none,Dia sim dia não
196,General,Fade,"to (cause to) lose colour, brightness, or strength gradually",B2,Murchar
197,General,Flee,"to escape by running away, especially because of danger or fear",C1,Fugir
198,General,Flimsy,"very thin, or easily broken or destroyed",none,Frágil
199,General,Footage,Film or videotape that shows a single event or place,none,Cenas
200,General,Foyer,"A large open area just inside the entrance of a public building such as theatre or a hotel, where people can wait and meet each other",none,Salão de teatro/Saguão
201,General,Fortnight,a period of two weeks,B1,Quinzena
202,General,Fringe,"the outer or less important part of an area, group, or activity",C2,"Orla, Franja"
203,General,Gauge,"To calculate an amount, especially by using a measure device. To make a judgement about something, usually people’s feelings. A device for measuring the amount or size of something. ",none,Medida
204,General,Glimpse,an occasion when you see something or someone for a very short period of time,C1,Vislumbre
205,General,Gouge,To make a hole in something in a rough or violent way,none,Cortar
206,General,Gnaw,"to bite or chew something repeatedly, usually making a hole in it or gradually destroying it",none,Roer
207,General,Grasp,to quickly take something in your hand(s) and hold it firmly,C1,Entender
208,General,Harness,"a piece of equipment with straps and belts, used to control or hold in place a person, animal or object",none,Arreio
209,General,Hinder,"to limit the ability of someone to do something, or to limit the development of something",C2,"Dificultar, atrapalhar"
210,General,Hollow,having a hole or empty space inside,C2,"Oco, buraco, cavidade"
211,General,Hype,"a situation in which something is advertised and discussed in newspapers, on television, etc. a lot in order to attract everyone’s interest",none,Campanha publicitária
212,General,Inlaid,"having a decorative pattern put into a surface, or forming a pattern like this",none,Incrustado
213,General,Imperative,Extremely important or urgent,C2,Imperativo
214,General,Jeopardize,o put something such as a plan or system in danger of being harmed or damaged,none,Comprometer
215,General,Jolt,to (cause something or someone to) move suddenly and violently,none,Solavanco
216,General,Litter,small pieces of rubbish that have been left lying on the ground in public places,B2,Lixo
217,General,Ogle,To look at someone with obvious sexual interest.,none,Comer com os olhos
218,General,Ornament,A object that is more beautiful rather than useful,C2,Enfeite
219,General,Overlook,to not notice or consider something. Alternate: to have a view of something from above.,none,Negligenciar
220,General,Outpatients,"A person who goes to a hospital for treatment, but who does not stay any night there",none,Pacientes Externos
221,General,Outskirts,(of cities and towns) the areas that form the edge,B2,Arredores
222,General,Peril,"danger, or something that is dangerous",none,Perigo
223,General,Pottery, the activity or skill of making clay objects by hand,B2,Cerâmica
224,General,Quandary,a state of not being able to decide what to do about a situation in which you are involved. ,none,Dilema
225,General,Quashes,"o say officially that something, especially an earlier official decision, is no longer to be accepted",none,Anular
226,General,Resilient,"able to quickly return to its usual shape after being bent, streched, or pressed.",C2,"Elastico, Resiliente"
227,General,Maisonette,a small apartment that is usually part of a larger building with two levels and that has its own entrance,none,Duplex
228,General,Maze,a complicated system of paths or passages that people try to find  their way through for entertainment,none,Labirinto
229,General,Measles,"infectious disease that produces small, red spots all over the body",none,Sarampo
230,General,Mediocre,not very good,C2,medíocre
231,General,Molten,Metal or Rock is a liquid state because of great heat. ,none,Fundido
232,General,Moist,"Slightly wet, especially in a good way",none,Umido
233,General,Neat,"Tidy, with everything in its place ",B1,Arrumado
234,General,Odds,the probability (= how likely it is) that a particular thing will or will not happen,C1,Probabilidade
235,General,Peril ,"great danger, or something that is very dangerous",none,"Perigo, Risco"
236,General,Prolific,Producing a great number or amount of something,none,Prolífico - Produtivo
237,General,Reckless,doing something really dangerous and not worrying about the risks and the possible results,C2,Imprudente
238,General,Rough,dangerous or violent,B2,"Perigoso, Violento"
239,General,Rubber, an elastic substance (= that stretches) made either from juice of particular tropical trees or artificially ,B2,Borracha
240,General,Rubbish,"garbage, trash waste material or things that are no longer wanted or needed",B1,Lixo
241,General,Ruck," ordinary people or things, that you consider boring",none,Multidão
242,General,Rucksack,a bag that you carry on your back ,none,Mochila
243,General,Scissors,"a device used for cutting materials such as paper, cloth, and hair, consisting of two sharp blades that are joined in the middle, and two handles with holes to put your fingers through",A2,Tesoura
244,General,Seashore,the land along the edge of the sea,none,Beira mar
245,General,Shellfish,"Sea creatures that live in shells and are eaten as food, or one of these creatures: lobsters, crabs, and oysters are all shellfish",none,Mariscos
246,General,Shipwreck,"an accident in which a ship is destroyed or sunk at sea, especially by hitting rocks, or a ship that has been destroyed or sunk an accident. ",none,Naufrágio
247,General,Silly,"not important, serious, or practical ",none,Boba
248,General,Soaking,completely wet,B2,Encharcado
249,General,Soar,to rise very quick to a high level ,C2,Subir Muito
250,General,Sorrow,(a cause of) feeling of great sadness,C2,Tristeza
251,General,Sovereign, a king or queen; government; ,none,Governante
252,General,Spurt,"to (cause to) flow out suddenly and with force, in a fast stream:
",none,Jorrar
253,General,Snuggle,"o move close to someone to affection, warmth, or comfort, or to arrange something around yourself
",none,Aconchegar
254,General,Sought,Past of seek ,B2,Buscou
255,General,Sprinkle,To drop a few pieces or drops something over a surface,C2,Borrifar/regar
256,General,Sways,to move slowly from side to side,none,Balançar
257,General,Swell,to become larger and rounder than usual; to (cause to) increase in size or amount,none,Inchar
258,General,Stumble,to step badly and almost fall over,none,Tropeçar
259,General,Streamlined,improved or made simpler.,none,Simplificado
260,General,Taper ,"to become graually narrower at one end, or to make something do this",none,Estreitar-se
261,General,Terraced,built as or belonging to a row of often small houses joined together along their side walls:,none,Terraço
262,General,The outset,the beginning,C2,O princípio
,General,The crux,"the most important or serious part of a matter, problem, or argument",none,o cerne
,General,Tide,The rise and fall of the sea that happens  twice every day,B2,Maré
,General,Towed,"to take away a vehicle that has been parked illegally using an official truck, to a place from which the driver has to pay to pick it up ",none,Rebocada
,General,Unearth,To discover something in the ground,none,Desenterrar
,General,Unspoiled,An unspoiled place is beatiful because it has not been changed or damaged by people,none,intocado
,General,Usher,"To show someone where they should go, or to make someone go where you want them to go",none,Arrumador/Porteiro
,General,Utter,Complete or extreme,C2,Total
,General,Xenofobia,"extreme dislike or fear of foreigners, their customs, their religions, etc",C2,Xenofobia
,General,Wax,a solid substance containing a lot of fat that becomes soft and melts when warm,none,Cera
,General,Whizz,to move or do something very fast,none,Zumbido
,General,Wreckage,a badly damaged object or the separated parts of a badly damaged object,C2,Destroços
,General,Wring,to hold something tightly with both hands and twist it by turning your hands in opposite directions,none,Torcer
,General,Yield,to make or provide something,C2,Dar/Fornecer
